title,skills,imageURL,category
Book Scout,UX DESIGN • UX RESEARCH,,
AC Control Redesign,UX DESIGN • UX RESEARCH,,
GridControl,UX DESIGN • UX RESEARCH,,
T(rack),UI DESIGN,,
AdoptMe,UI DESIGN,,
PeerCoco,GRAPHIC DESIGN,,
sp l it,GAME DESIGN • ART • PROGRAMMING • PRODUCTION,,
Channel,GAME DESIGN • PROGRAMMING,,
Backslash,GAME DESIGN • ART • PROGRAMMING • PRODUCTION,,
Minion,UX DESIGN • ART ,,
Zombox,PROGRAMMING • ART,,
Engolfed VR,ART • PROGRAMMING,,
ECMO VR,PROGRAMMING • RESEARCH,,
