title,skills,imageURL,category,altRoute
GTA V Mission Redesign,MISSION DESIGN,yoga.png,"games, design",https://docs.google.com/document/d/1VB40Yv8YLOUL0X2SHADM6-Ia2m-xcQtqYpf9FhyPgM8/edit?tab=t.0#heading=h.ynt694lablxg
Heuristicats,GAME DESIGN • SYSTEMS DESIGN • PROGRAMMING,heuristicats.png,games,
Eachday,GAME DESIGN • UX DESIGN,eachday.png,"games, design",
Dimensional Rift,GAME DESIGN • PROGRAMMING • PRODUCTION,DR.png,games,
Tanks In Advance,GAME DESIGN • LEVEL DESIGN • ART,TIA.png,games,
Escape Dartist VR,LEVEL DESIGN • 3D ART,escape_dartist.svg,games,
Design Internship Program,UX DESIGN • UX RESEARCH,c1.png,"design, research",
