title,skills,imageURL,category,altRoute
Combat Prototype,GAME DESIGN • COMBAT DESIGN • PROGRAMMING,CombatPrototype.png,games,https://youtu.be/st2BMdaA1UQ
Heuristicats,GAME DESIGN • SYSTEMS DESIGN • PROGRAMMING,heuristicats.png,games,
Eachday,GAME DESIGN • UX DESIGN,eachday.png,"games, design",
Design Internship Program,UX DESIGN • UX RESEARCH,c1.png,"design, research",
Tanks In Advance,GAME DESIGN • LEVEL DESIGN • ART,TIA.png,games,
Player-Programmed Partner Games,GAME DESIGN • RESEARCH,OHLab.png,"games, research",
Escape Dartist VR,LEVEL DESIGN • 3D ART,escape_dartist.svg,games,
Space Shank,GAME DESIGN • PROGRAMMING,spaceshank.jpg,games,
