title,skills,imageURL,category,altRoute
Heuristicats,GAME DESIGN • SYSTEMS DESIGN • PROGRAMMING,heuristicats.png,games,
Eachday,GAME DESIGN • UX DESIGN,eachday.png,"games, design",
Tanks In Advance,GAME DESIGN • LEVEL DESIGN • ART,TIA.png,games,
Dimensional Rift,GAME DESIGN • PROGRAMMING • PRODUCTION,DR.png,games,
Escape Dartist VR,LEVEL DESIGN • 3D ART,escape_dartist.svg,games,
Space Shank,GAME DESIGN • PROGRAMMING,spaceshank.jpg,games,
